"Date";"Time";"Temperature";"DewPoint";"Humidity";"Wind";"WindSpeed";"WindGust";"Pressure";"Precip.";"Condition"
"2018-1-5";"7:00AM";"28F";"27F";"93%";"NNW";"5mph";"0mph";"29.08in";"0.0in";"MostlyCloudy"
"2018-1-5";"7:30AM";"28F";"27F";"93%";"CALM";"0mph";"0mph";"29.08in";"0.0in";"PartlyCloudy"
"2018-1-5";"8:00AM";"28F";"27F";"93%";"CALM";"0mph";"0mph";"29.08in";"0.0in";"PartlyCloudy"
"2018-1-5";"8:30AM";"27F";"27F";"100%";"CALM";"0mph";"0mph";"29.08in";"0.0in";"Fair"
"2018-1-5";"9:00AM";"27F";"27F";"100%";"CALM";"0mph";"0mph";"29.10in";"0.0in";"Fair"
"2018-1-5";"9:30AM";"30F";"28F";"93%";"ENE";"1mph";"0mph";"29.13in";"0.0in";"PartlyCloudy"
"2018-1-5";"10:00AM";"30F";"30F";"100%";"E";"3mph";"0mph";"29.13in";"0.0in";"Fair"
"2018-1-5";"10:30AM";"34F";"32F";"93%";"E";"1mph";"0mph";"29.13in";"0.0in";"Fair"
"2018-1-5";"11:00AM";"37F";"32F";"81%";"CALM";"0mph";"0mph";"29.10in";"0.0in";"Fair"
"2018-1-5";"11:30AM";"37F";"32F";"81%";"WNW";"2mph";"0mph";"29.13in";"0.0in";"Fair"
"2018-1-5";"12:00PM";"39F";"32F";"75%";"CALM";"0mph";"0mph";"29.13in";"0.0in";"Fair"
"2018-1-5";"12:30PM";"39F";"32F";"75%";"VAR";"1mph";"0mph";"29.13in";"0.0in";"Fair"
"2018-1-5";"1:00PM";"41F";"34F";"76%";"VAR";"2mph";"0mph";"29.10in";"0.0in";"Fair"
"2018-1-5";"1:30PM";"43F";"34F";"70%";"NW";"2mph";"0mph";"29.13in";"0.0in";"Fair"
"2018-1-5";"2:00PM";"45F";"34F";"66%";"VAR";"1mph";"0mph";"29.13in";"0.0in";"MostlyCloudy"
"2018-1-5";"2:30PM";"45F";"34F";"66%";"SW";"1mph";"0mph";"29.13in";"0.0in";"MostlyCloudy"
"2018-1-5";"3:00PM";"45F";"34F";"66%";"SSW";"1mph";"0mph";"29.13in";"0.0in";"MostlyCloudy"
"2018-1-5";"3:30PM";"46F";"34F";"62%";"W";"2mph";"0mph";"29.13in";"0.0in";"PartlyCloudy"
"2018-1-5";"4:00PM";"46F";"34F";"62%";"CALM";"0mph";"0mph";"29.13in";"0.0in";"Fair"
"2018-1-5";"4:30PM";"46F";"34F";"62%";"CALM";"0mph";"0mph";"29.13in";"0.0in";"Fair"
"2018-1-5";"5:00PM";"45F";"34F";"66%";"N";"1mph";"0mph";"29.13in";"0.0in";"Fair"
"2018-1-5";"5:30PM";"41F";"34F";"76%";"W";"2mph";"0mph";"29.16in";"0.0in";"Fair"
"2018-1-5";"6:00PM";"37F";"32F";"81%";"ESE";"3mph";"0mph";"29.13in";"0.0in";"Fair"
"2018-1-5";"6:30PM";"37F";"32F";"81%";"ESE";"2mph";"0mph";"29.16in";"0.0in";"Fair"
"2018-1-5";"7:00PM";"36F";"32F";"87%";"NE";"1mph";"0mph";"29.16in";"0.0in";"Fair"
