"Date";"Time";"Temperature";"DewPoint";"Humidity";"Wind";"WindSpeed";"WindGust";"Pressure";"Precip.";"Condition"
"2015-12-4";"5:00PM";"50F";"43F";"76%";"W";"2mph";"0mph";"29.65in";"0.0in";"Fair"
"2015-12-4";"5:30PM";"46F";"41F";"81%";"SW";"2mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"6:00PM";"41F";"37F";"87%";"E";"2mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"6:30PM";"39F";"37F";"93%";"ESE";"2mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"7:00PM";"39F";"37F";"93%";"ESE";"2mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"7:30PM";"39F";"36F";"87%";"ENE";"1mph";"0mph";"29.68in";"0.0in";"Fair"
"2015-12-4";"8:00PM";"37F";"36F";"93%";"CALM";"0mph";"0mph";"29.71in";"0.0in";"Fair"
"2015-12-4";"8:30PM";"37F";"36F";"93%";"CALM";"0mph";"0mph";"29.71in";"0.0in";"Fair"
"2015-12-4";"9:00PM";"36F";"34F";"93%";"ENE";"2mph";"0mph";"29.71in";"0.0in";"Fair"
"2015-12-4";"9:30PM";"34F";"32F";"93%";"NE";"1mph";"0mph";"29.71in";"0.0in";"Fair"
"2015-12-4";"10:00PM";"34F";"32F";"93%";"SE";"2mph";"0mph";"29.71in";"0.0in";"Fair"
"2015-12-4";"10:30PM";"34F";"32F";"93%";"CALM";"0mph";"0mph";"29.71in";"0.0in";"PartlyCloudy"
"2015-12-4";"11:00PM";"34F";"34F";"100%";"CALM";"0mph";"0mph";"29.71in";"0.0in";"MostlyCloudy"
"2015-12-4";"11:30PM";"34F";"34F";"100%";"CALM";"0mph";"0mph";"29.71in";"0.0in";"MostlyCloudy"
"2015-12-4";"12:00AM";"36F";"34F";"93%";"CALM";"0mph";"0mph";"29.71in";"0.0in";"MostlyCloudy"
"2015-12-4";"12:30AM";"36F";"36F";"100%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"MostlyCloudy"
"2015-12-5";"1:00AM";"37F";"36F";"93%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"MostlyCloudy"
"2015-12-5";"1:30AM";"37F";"37F";"100%";"CALM";"0mph";"0mph";"29.71in";"0.0in";"MostlyCloudy"
"2015-12-5";"2:00AM";"37F";"36F";"93%";"CALM";"0mph";"0mph";"29.71in";"0.0in";"MostlyCloudy"
"2015-12-5";"2:30AM";"37F";"36F";"93%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"Mist"
"2015-12-5";"3:00AM";"37F";"36F";"93%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"Mist"
"2015-12-5";"3:30AM";"37F";"36F";"93%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"Mist"
"2015-12-5";"4:00AM";"37F";"36F";"93%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"Mist"
"2015-12-5";"4:30AM";"37F";"36F";"93%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"Mist"
"2015-12-5";"5:00AM";"37F";"36F";"93%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"MostlyCloudy"
"2015-12-5";"5:30AM";"37F";"37F";"100%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"MostlyCloudy"
"2015-12-5";"6:00AM";"37F";"37F";"100%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"Mist"
"2015-12-5";"6:30AM";"37F";"37F";"100%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"MostlyCloudy"
"2015-12-5";"7:00AM";"37F";"37F";"100%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"MostlyCloudy"
"2015-12-5";"7:30AM";"37F";"37F";"100%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"MostlyCloudy"
"2015-12-5";"8:00AM";"37F";"37F";"100%";"CALM";"0mph";"0mph";"29.76in";"0.0in";"Mist"
"2015-12-5";"8:30AM";"39F";"37F";"93%";"CALM";"0mph";"0mph";"29.76in";"0.0in";"Mist"
"2015-12-5";"9:00AM";"39F";"36F";"87%";"CALM";"0mph";"0mph";"29.76in";"0.0in";"Mist"
"2015-12-5";"9:30AM";"41F";"37F";"87%";"CALM";"0mph";"0mph";"29.76in";"0.0in";"Mist"
"2015-12-5";"10:30AM";"41F";"37F";"87%";"CALM";"0mph";"0mph";"29.79in";"0.0in";"Mist"
"2015-12-5";"11:00AM";"43F";"39F";"87%";"CALM";"0mph";"0mph";"29.79in";"0.0in";"MostlyCloudy"
"2015-12-5";"11:30AM";"45F";"39F";"81%";"NW";"2mph";"0mph";"29.76in";"0.0in";"MostlyCloudy"
"2015-12-5";"12:00PM";"45F";"39F";"81%";"CALM";"0mph";"0mph";"29.76in";"0.0in";"MostlyCloudy"
"2015-12-5";"12:30PM";"46F";"39F";"76%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"MostlyCloudy"
"2015-12-5";"1:00PM";"48F";"41F";"76%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"PartlyCloudy"
"2015-12-5";"1:30PM";"50F";"41F";"71%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"Fair"
"2015-12-5";"2:00PM";"50F";"41F";"71%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"Fair"
"2015-12-5";"2:30PM";"52F";"41F";"67%";"CALM";"0mph";"0mph";"29.71in";"0.0in";"Fair"
"2015-12-5";"3:00PM";"52F";"41F";"67%";"CALM";"0mph";"0mph";"29.71in";"0.0in";"Fair"
"2015-12-5";"3:30PM";"52F";"41F";"67%";"CALM";"0mph";"0mph";"29.71in";"0.0in";"Fair"
"2015-12-5";"4:00PM";"52F";"41F";"67%";"NW";"2mph";"0mph";"29.71in";"0.0in";"Fair"
"2015-12-5";"4:30PM";"50F";"41F";"71%";"WSW";"2mph";"0mph";"29.71in";"0.0in";"Fair"
"2015-12-5";"5:00PM";"48F";"41F";"76%";"WSW";"3mph";"0mph";"29.71in";"0.0in";"Fair"
"2015-12-5";"5:30PM";"45F";"39F";"81%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"Fair"
"2015-12-5";"6:00PM";"43F";"39F";"87%";"CALM";"0mph";"0mph";"29.74in";"0.0in";"Fair"
"2015-12-5";"6:30PM";"39F";"36F";"87%";"ESE";"2mph";"0mph";"29.74in";"0.0in";"Fair"
